,IDcensus,census_city,state,Pop2010,Pop2011,Pop2012,Pop2013,Pop2014,Pop2015,Pop2016,Pop2017,Pop2018,Pop2019,citystate,state_id,lat,lng
291,95,Irving,Texas,216859,219859,225748,228943,232584,237201,239898,240608,241424,239798,"Irving, Texas",TX,32.8584,-96.9702
292,158,Jackson,Mississippi,173698,175149,174822,172927,172014,170901,169022,166823,163772,160628,"Jackson, Mississippi",MS,32.3163,-90.2124
293,553,Jackson,Tennessee,66814,66726,67018,67467,67112,66760,66718,66748,66952,67191,"Jackson, Tennessee",TN,35.6535,-88.8353
294,12,Jacksonville,Florida,823114,829609,837013,842735,852494,865836,880520,892025,902437,911507,"Jacksonville, Florida",FL,30.3322,-81.6749
295,498,Jacksonville,North Carolina,78089,75194,76365,75681,74217,74306,72745,72800,72775,72436,"Jacksonville, North Carolina",NC,34.7288,-77.3941
296,587,Janesville,Wisconsin,63623,63439,63509,63675,63853,63880,64023,64297,64483,64575,"Janesville, Wisconsin",WI,42.6855,-89.0136
297,80,Jersey City,New Jersey,248324,252877,256072,257119,258632,260171,260427,263292,263851,262075,"Jersey City, New Jersey",NJ,40.7161,-74.0682
298,404,Johns Creek,Georgia,77090,79218,81852,82455,82743,82980,83930,84282,84320,84579,"Johns Creek, Georgia",GA,34.0333,-84.2027
299,557,Johnson City,Tennessee,63528,63951,64370,64706,65106,65497,66140,66164,66759,66906,"Johnson City, Tennessee",TN,36.3406,-82.3803
300,177,Joliet,Illinois,147524,147771,148084,147749,147592,147432,147802,147821,147730,147344,"Joliet, Illinois",IL,41.5189,-88.1499
301,450,Jonesboro,Arkansas,67548,68998,70440,71604,72303,73763,74797,75938,77234,78394,"Jonesboro, Arkansas",AR,35.8212,-90.6791
302,769,Joplin,Missouri,50911,48350,48483,48896,49402,49780,50192,50469,50604,50925,"Joplin, Missouri",MO,37.0758,-94.5018
303,465,Kalamazoo,Michigan,74334,74697,75545,75792,76099,75820,75826,75803,76483,76200,"Kalamazoo, Michigan",MI,42.2749,-85.5882
304,772,Kannapolis,North Carolina,42699,43169,43769,44385,45310,46311,47577,48774,49770,50841,"Kannapolis, North Carolina",NC,35.4764,-80.6403
305,169,Kansas City,Kansas,145878,146227,147454,148899,150122,151502,152485,152739,152965,152960,"Kansas City, Kansas",KS,39.1234,-94.7443
306,38,Kansas City,Missouri,460697,462368,464595,467213,470629,475073,481670,488329,492012,495327,"Kansas City, Missouri",MO,39.1239,-94.5541
